iter	RMSE
0	10.34070498
1	10.2064069
2	10.07966833
3	9.955265157
4	9.830619648
5	9.716452537
6	9.610848325
7	9.517975766
8	9.418631857
9	9.332502445
10	9.256519056
11	9.181818101
12	9.109234854
13	9.043274393
14	8.976236043
15	8.918286049
16	8.849481262
17	8.798840179
18	8.742322905
19	8.689283817
20	8.642376254
21	8.593850592
22	8.545536206
23	8.507748259
24	8.474402803
25	8.440949008
26	8.401379073
27	8.370377572
28	8.33970371
29	8.311847072
30	8.282317919
31	8.259051557
32	8.230355866
33	8.194958477
34	8.165666612
35	8.140020663
36	8.120330596
37	8.093996696
38	8.07450416
39	8.051370355
40	8.025424344
41	8.003567411
42	7.98762137
43	7.968618101
44	7.949721137
45	7.928028828
46	7.908702568
47	7.886810331
48	7.868267222
49	7.855487352
50	7.842425906
51	7.820261595
52	7.807308272
53	7.794949219
54	7.776611665
55	7.761338249
56	7.750226124
57	7.733875087
58	7.715495869
59	7.701567191
60	7.682256696
61	7.661658942
62	7.648977389
63	7.633964063
64	7.626228924
65	7.611468727
66	7.592713229
67	7.578955987
68	7.56406734
69	7.55303151
70	7.541849698
71	7.531227018
72	7.517176435
73	7.510250942
74	7.495776171
75	7.48113487
76	7.470992649
77	7.45952889
78	7.446070463
79	7.438300948
80	7.426059312
81	7.414294667
82	7.397892783
83	7.379876663
84	7.372329176
85	7.363549796
86	7.346565056
87	7.333759743
88	7.323390369
89	7.305757226
90	7.293984523
91	7.284929082
92	7.274290669
93	7.255144768
94	7.240159257
95	7.232448572
96	7.221811142
97	7.209552656
98	7.202629445
99	7.191233467
100	7.181766738
101	7.168190756
102	7.155829127
103	7.138654864
104	7.132011044
105	7.11918391
106	7.110292672
107	7.094536805
108	7.088248816
109	7.077097702
110	7.072205397
111	7.061796949
112	7.054940974
113	7.040831667
114	7.021621922
115	7.012003037
116	7.007191833
117	6.994861252
118	6.987478649
119	6.981435272
120	6.973706833
121	6.967585348
122	6.962919074
123	6.956639396
124	6.948198309
125	6.938995712
126	6.924547287
127	6.915572536
128	6.898489348
129	6.88598477
130	6.878324559
131	6.873189658
132	6.864742191
133	6.860737481
134	6.847722586
135	6.838091783
136	6.825633252
137	6.818365231
138	6.811795708
139	6.795982825
140	6.789840744
141	6.788382535
142	6.778581498
143	6.775595189
144	6.759453889
145	6.754498311
146	6.746044725
147	6.730658831
148	6.721632517
149	6.71382104
150	6.701703198
151	6.689432125
152	6.679038636
153	6.667388474
154	6.654849045
155	6.637930417
156	6.63095292
157	6.625567571
158	6.613242506
159	6.606062522
160	6.594838098
161	6.585285085
162	6.57876961
163	6.57032907
164	6.561182807
165	6.558580696
166	6.551711954
167	6.53699412
168	6.529273423
169	6.527398606
170	6.524547247
171	6.51590287
172	6.512834954
173	6.498458168
174	6.4915026
175	6.48170209
176	6.469550813
177	6.466613382
178	6.459940651
179	6.448388215
180	6.437428879
181	6.427076408
182	6.424496061
183	6.420948734
184	6.413448235
185	6.404845121
186	6.401593362
187	6.398981415
188	6.388811766
189	6.381021997
190	6.369687039
191	6.367565717
192	6.354338696
193	6.339656693
194	6.338145636
195	6.336652246
196	6.334741871
197	6.321820589
198	6.311718898
199	6.303452731
200	6.293801784
201	6.286143061
202	6.271037896
203	6.259880326
204	6.244467086
205	6.236977967
206	6.226541867
207	6.213712548
208	6.211980303
209	6.197454814
210	6.18424034
211	6.172275592
212	6.170706386
213	6.163591599
214	6.153667166
215	6.144329205
216	6.13346557
217	6.131464524
218	6.129843046
219	6.114890331
220	6.102207789
221	6.086780245
222	6.073646227
223	6.063263427
224	6.050455742
225	6.04040127
226	6.038980875
227	6.02972671
228	6.017302177
229	6.006735164
230	5.997966422
231	5.987420549
232	5.97436567
233	5.963175996
234	5.953395241
235	5.941848221
236	5.929505996
237	5.918410496
238	5.906681679
239	5.898760014
240	5.886888085
241	5.879401626
242	5.865008758
243	5.854510629
244	5.839684332
245	5.830820997
246	5.82221677
247	5.809982525
248	5.802568573
249	5.791626783
250	5.77979338
251	5.768848359
252	5.754981984
253	5.745555115
254	5.738857468
255	5.737572792
256	5.736322576
257	5.725466405
258	5.724259548
259	5.712644631
260	5.707436335
261	5.695381933
262	5.68272118
263	5.675243797
264	5.666249275
265	5.661857705
266	5.647241813
267	5.635884132
268	5.626883981
269	5.616225215
270	5.611471929
271	5.610239056
272	5.604246209
273	5.596387242
274	5.590405583
275	5.585703376
276	5.57274788
277	5.558558918
278	5.546637837
279	5.540448588
280	5.539471066
