data,hora,natureza_acidente,situacao,bairro,endereco,numero,detalhe_endereco_acidente,complemento,endereco_cruzamento,numero_cruzamento,referencia_cruzamento,bairro_cruzamento,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,,,,,,,
2017-01-01,02:55:00,SEM VÍTIMA,CANCELADA,CABANGA,AV SUL,,,SEMAFORO 260,AV SUL,0,SEMAFORO 260,CABANGA,COLISÃO,1,,,,,1,,,,0,,,,,,,,
2017-01-01,05:32:00,SEM VÍTIMA,FINALIZADA,SANTO AMARO,RUA BARROS BARRETO,483,,PROX DO COLEGIO ESTACIO COIMBRA,RUA BARROS BARRETO,483,PROX DO COLEGIO ESTACIO COIMBRA,SANTO AMARO,CAPOTAMENTO,3,,,,,,,,,0,,,,,,,,
2017-01-01,06:00:00,SEM VÍTIMA,FINALIZADA,JARDIM SÃO PAULO,AV PIRACICABA,,,NO TERMINAL DOS ONIBUS JARDIM SAO PAULO PIRACICA,AV PIRACICABA,0,NO TERMINAL DOS ONIBUS JARDIM SAO PAULO PIRACICA,JARDIM SÃO PAULO,COLISÃO,1,,,,,1,,,,0,,,,,,,,
2017-01-01,06:24:00,SEM VÍTIMA,FINALIZADA,JARDIM SÃO PAULO,AV SAO PAULO,474,,EM FRENTE AO SHOPPING JARDIM,AV SAO PAULO,474,EM FRENTE AO SHOPPING JARDIM,JARDIM SÃO PAULO,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-01,06:39:00,SEM VÍTIMA,PENDENTE,CAXANGÁ,AV CAXANGA,,,EM DA INTEGRAÇÃO DA CAXANGÁ,AV CAXANGA,0,EM DA INTEGRAÇÃO DA CAXANGÁ,CAXANGÁ,COLISÃO,,1,,,,,,,,0,,,,,,,,
2017-01-01,07:25:00,SEM VÍTIMA,FINALIZADA,BOMBA DO HEMETÉRIO,RUA BOMBA DO HEMETERIO,630,,E/F A FARMACIA NOVA JERUSALÉM,RUA BOMBA DO HEMETERIO,630,E/F A FARMACIA NOVA JERUSALÉM,BOMBA DO HEMETÉRIO,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-01,08:48:00,SEM VÍTIMA,FINALIZADA,PINA,AV HERCULANO BANDEIRA,97,,E/F AO BAR HERCULANO,AV HERCULANO BANDEIRA,97,E/F AO BAR HERCULANO,PINA,COLISÃO,1,,,,,,,1,,0,,,,,,,,
2017-01-01,10:44:00,COM VÍTIMA,FINALIZADA,ÁGUA FRIA,RUA DR EUDES COSTA,138,,CIA DO TOLDO,RUA DR EUDES COSTA,138,CIA DO TOLDO,ÁGUA FRIA,COLISÃO,1,1,,,,,,,,1,,,,,,,,
2017-01-01,11:58:00,COM VÍTIMA,FINALIZADA,SANTO AMARO,AV CRUZ CABUGA,,,EM FRENTE AO CEMITERIO DOS INGLESES,AV CRUZ CABUGA,0,EM FRENTE AO CEMITERIO DOS INGLESES,SANTO AMARO,COLISÃO,1,,,,,1,,,,1,,,,,,,,
2017-01-01,12:33:00,COM VÍTIMA,CANCELADA,AFOGADOS,RUA DA PAZ,,,EM FRENTE A POLICLINICA AGAMENON MAGALHÃES,RUA DA PAZ,0,EM FRENTE A POLICLINICA AGAMENON MAGALHÃES,AFOGADOS,CHOQUE,,1,,,,,,,,1,,,,,,,,
2017-01-01,14:08:00,SEM VÍTIMA,CANCELADA,CAMPO GRANDE,AV GOVERNADOR AGAMENON MAGALHAES,,,CEENTRAL DE FLAGRANTES,AV GOVERNADOR AGAMENON MAGALHAES,0,CEENTRAL DE FLAGRANTES,CAMPO GRANDE,COLISÃO,3,,,,,,,,,0,,,,,,,,
2017-01-01,14:16:00,SEM VÍTIMA,FINALIZADA,PARNAMIRIM,RUA DES GOIS CAVALCANTE,100,,EM FRENTE A FARMACIA BIG BEN,RUA DES GOIS CAVALCANTE,100,EM FRENTE A FARMACIA BIG BEN,PARNAMIRIM,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-01,15:34:00,SEM VÍTIMA,FINALIZADA,SANCHO,AV LIBERDADE,5,,AO LADO DO ANIBAL BRUNO,AV LIBERDADE,5,AO LADO DO ANIBAL BRUNO,SANCHO,COLISÃO,1,,,,,1,,,,0,,,,,,,,
2017-01-01,17:05:00,SEM VÍTIMA,FINALIZADA,IMBIRIBEIRA,RUA MIS JOEL CARLSON,304,,PROXIMO A PADARIA NOVO TEMPO.FICA NA ESQUINA DESSA RUA,RUA MIS JOEL CARLSON,304,PROXIMO A PADARIA NOVO TEMPO.FICA NA ESQUINA DESSA RUA,IMBIRIBEIRA,COLISÃO,,,,,,,,,,0,,,,,,,,
2017-01-01,17:25:00,SEM VÍTIMA,FINALIZADA,PINA,AV ANTONIO DE GOES,,,E/F AO BANCO DO BRASIL,AV ANTONIO DE GOES,0,E/F AO BANCO DO BRASIL,PINA,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-01,18:54:00,COM VÍTIMA,FINALIZADA,VASCO DA GAMA,RUA VASCO DA GAMA,,,PROX A UNIDADE DA SEDE DO VASCO,RUA VASCO DA GAMA,0,PROX A UNIDADE DA SEDE DO VASCO,VASCO DA GAMA,COLISÃO,1,,1,,,,,,,2,,,,,,,,
2017-01-02,08:03:00,SEM VÍTIMA,FINALIZADA,ESTÂNCIA,AV RECIFE,XX,,EM FRENTE AO MAKRO, SENTIDO AEROPORTO,AV RECIFE,XX,EM FRENTE AO MAKRO, SENTIDO AEROPORTO,ESTÂNCIA,COLISÃO,1,,,,,1,,,,0,,,,,,
2017-01-02,08:10:00,SEM VÍTIMA,FINALIZADA,ARRUDA,AV BEBERIBE,907,,EM FRENTE AO LOJÃO DO PRETOLIO,AV BEBERIBE,907,EM FRENTE AO LOJÃO DO PRETOLIO,ARRUDA,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-02,08:52:00,SEM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,,E/F A EUROVIA, SENTIDO CENTRO. (SEMÁFORO 534),AV MARECHAL MASCARENHAS DE MORAES,0,E/F A EUROVIA, SENTIDO CENTRO. (SEMÁFORO 534),IMBIRIBEIRA,COLISÃO,2,,,,,,,,,0,,,,,,
2017-01-02,09:26:00,COM VÍTIMA,FINALIZADA,CAMPO GRANDE,RUA JERONIMO VILELA,,,NO SEMAFORO Nº282,RUA JERONIMO VILELA,0,NO SEMAFORO Nº282,CAMPO GRANDE,COLISÃO,,,,1,,1,,,,1,,,,,,,,
2017-01-02,09:59:00,SEM VÍTIMA,CANCELADA,IPSEP,RUA VIRGINIA HERACLIO,723,,COM A RUA SÃO NICOLAU,RUA VIRGINIA HERACLIO,723,COM A RUA SÃO NICOLAU,IPSEP,COLISÃO,1,,,,,,1,,,0,,,,,,,,
2017-01-02,09:59:00,SEM VÍTIMA,FINALIZADA,AFOGADOS,RUA DA PAZ,,,EM FRENTE A CAIXA ECONOMICA,RUA DA PAZ,0,EM FRENTE A CAIXA ECONOMICA,AFOGADOS,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-02,10:30:00,SEM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,7917,,EM FRENTE AO GERALDAO,AV MARECHAL MASCARENHAS DE MORAES,7917,EM FRENTE AO GERALDAO,IMBIRIBEIRA,COLISÃO,1,,,,,,1,,,0,,,,,,,,
2017-01-02,12:00:00,SEM VÍTIMA,FINALIZADA,PAISSANDU,AV GOVERNADOR AGAMENON MAGALHAES,,,NO SEMÁFORO 069,AV GOVERNADOR AGAMENON MAGALHAES,0,NO SEMÁFORO 069,PAISSANDU,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-02,13:23:00,SEM VÍTIMA,FINALIZADA,PINA,AV HERCULANO BANDEIRA,,,E/F AO ATACADO DA PRESENTE,AV HERCULANO BANDEIRA,0,E/F AO ATACADO DA PRESENTE,PINA,COLISÃO,2,,,,,,,,,0,,,,,,,,
